iter	Passed	Remaining
0	134	134014
1	134	67300
2	135	45034
3	136	33903
4	136	27218
5	137	22760
6	138	19576
7	138	17193
8	139	15358
9	140	13878
10	140	12661
11	141	11646
12	142	10785
13	142	10047
14	143	9409
15	143	8849
16	144	8355
17	145	7919
18	146	7539
19	146	7188
20	147	6870
21	147	6579
22	148	6313
23	149	6072
24	149	5849
25	150	5641
26	151	5450
27	152	5280
28	152	5115
29	153	4959
30	154	4814
31	154	4677
32	155	4549
33	155	4428
34	156	4314
35	157	4206
36	157	4106
37	158	4014
38	159	3925
39	159	3839
40	160	3756
41	161	3677
42	161	3602
43	162	3529
44	163	3460
45	163	3396
46	164	3336
47	165	3276
48	165	3218
49	166	3163
50	167	3109
51	167	3057
52	168	3008
53	168	2960
54	169	2914
55	170	2873
56	171	2831
57	171	2790
58	172	2751
59	173	2724
60	174	2687
61	175	2650
62	175	2614
63	176	2581
64	177	2549
65	177	2517
66	178	2485
67	179	2455
68	179	2425
69	180	2396
70	181	2369
71	181	2341
72	182	2314
73	183	2290
74	183	2267
75	184	2243
76	185	2218
77	185	2195
78	186	2173
79	187	2151
80	188	2134
81	188	2115
82	189	2092
83	190	2074
84	191	2056
85	191	2039
86	192	2020
87	193	2002
88	193	1985
89	194	1968
90	195	1951
91	196	1934
92	196	1917
93	197	1901
94	197	1884
95	198	1869
96	199	1853
97	199	1837
98	200	1822
99	200	1808
100	201	1795
101	202	1781
102	203	1768
103	203	1754
104	204	1740
105	204	1727
106	205	1714
107	205	1701
108	206	1688
109	207	1676
110	207	1665
111	208	1653
112	209	1641
113	209	1630
114	210	1618
115	210	1607
116	211	1595
117	212	1584
118	212	1574
119	213	1563
120	213	1553
121	214	1542
122	215	1533
123	215	1523
124	216	1514
125	217	1506
126	217	1497
127	218	1489
128	219	1480
129	219	1472
130	220	1463
131	221	1454
132	221	1446
133	222	1437
134	223	1428
135	223	1420
136	224	1412
137	224	1404
138	225	1396
139	226	1388
140	226	1381
141	227	1372
142	227	1365
143	228	1357
144	228	1350
145	229	1342
146	230	1336
147	230	1329
148	231	1322
149	232	1315
150	232	1309
151	233	1303
152	234	1297
153	234	1290
154	235	1283
155	236	1277
156	236	1271
157	237	1265
158	238	1260
159	238	1254
160	239	1247
161	240	1241
162	240	1235
163	241	1229
164	241	1223
165	242	1218
166	243	1212
167	243	1206
168	244	1201
169	245	1197
170	245	1192
171	246	1187
172	247	1181
173	247	1176
174	248	1171
175	248	1165
176	249	1160
177	250	1155
178	250	1150
179	251	1145
180	252	1141
181	252	1136
182	253	1131
183	254	1126
184	254	1121
185	255	1116
186	255	1112
187	256	1107
188	257	1103
189	257	1099
190	258	1094
191	259	1090
192	259	1086
193	260	1081
194	260	1077
195	261	1072
196	262	1068
197	262	1064
198	263	1059
199	263	1055
200	264	1051
201	265	1047
202	265	1043
203	266	1039
204	266	1035
205	267	1031
206	268	1027
207	268	1023
208	269	1019
209	270	1015
210	270	1012
211	271	1008
212	272	1005
213	272	1002
214	273	998
215	274	995
216	274	991
217	275	987
218	275	984
219	276	980
220	277	977
221	277	974
222	278	970
223	279	967
224	279	963
225	280	960
226	280	956
227	281	953
228	282	949
229	282	947
230	283	944
231	284	940
232	284	937
